,Depth [m],modelDensity [kg/m3],Density [kg/m3]
119,3.8187804222106934,483.17307,392.96203944545454
120,3.846555709838867,492.41235,393.9417776227273
517,3.85,486.76727,394.9215158
121,3.8585946559906006,481.12216,394.8062200894737
122,3.8825032711029053,515.56714,394.6909243789474
123,3.9149587154388428,573.3619,394.5756286684211
124,3.97178053855896,599.40656,394.46033295789476
125,4.015929222106934,581.1847,394.3450372473684
126,4.054660797119141,562.311,394.2297415368421
127,4.09721565246582,508.41034,394.1144458263158
128,4.105680465698242,507.51575,393.99915011578946
129,4.117341041564941,501.60938,393.88385440526315
130,4.136147975921631,504.64047,393.76855869473684
131,4.150549411773682,493.59116,393.6532629842105
132,4.1670331954956055,496.122,393.5379672736842
133,4.212369441986084,494.66013,393.4226715631579
134,4.24596643447876,508.16125,393.3073758526316
135,4.286836624145508,564.08704,393.1920801421052
136,4.307161331176758,635.1486,393.0767844315789
137,4.347668170928955,552.07574,392.9614887210526
138,4.387590408325195,510.305,392.8461930105263
518,4.4,511.32706,392.7308973
139,4.416440486907959,512.3491,393.3432570052631
140,4.461397171020508,511.9478,393.95561671052633
141,4.509319305419922,512.6153,394.5679764157895
142,4.538451194763184,524.5308,395.1803361210526
143,4.547896385192871,501.50482,395.79269582631576
144,4.567959308624268,521.8179,396.40505553157897
145,4.629724979400635,537.85895,397.0174152368421
146,4.6663408279418945,579.53033,397.62977494210526
147,4.724567413330078,601.80164,398.2421346473684
148,4.753772735595703,592.7613,398.8544943526316
149,4.793507099151611,563.8052,399.46685405789475
150,4.820866584777832,529.2628,400.0792137631579
151,4.832862854003906,525.2608,400.69157346842104
152,4.849475860595703,527.5426,401.30393317368424
153,4.8672404289245605,529.4476,401.9162928789474
154,4.880840301513672,518.17804,402.52865258421053
155,4.902682304382324,512.6897,403.1410122894737
156,4.922723770141602,523.61346,403.7533719947369
519,4.95,537.6367,404.3657317
157,4.96134090423584,551.66003,406.62329959000004
158,5.021850109100342,592.65424,408.88086748
159,5.097667694091797,611.70825,411.13843537
160,5.121590614318848,613.1884,413.39600326000004
161,5.132214069366455,564.9426,415.65357115
162,5.158761024475098,552.49426,417.91113904
163,5.199622631072998,542.36816,420.16870693000004
164,5.221676826477051,538.4101,422.42627482
165,5.233564853668213,536.9872,424.68384271
166,5.2563652992248535,532.2474,426.94141060000004
167,5.276047706604004,532.17206,429.19897849
168,5.296455383300781,544.83777,431.45654638
169,5.336149215698242,564.3651,433.71411427
170,5.380392074584961,571.54675,435.97168216
171,5.403332710266113,621.7739,438.22925005
172,5.423823833465576,608.6277,440.48681794
173,5.453505039215088,573.3462,442.74438583
174,5.48505973815918,547.53815,445.00195372
175,5.495108604431152,553.39966,447.25952161
520,5.5,558.30414,449.5170895
176,5.510066032409668,563.2086,448.6370119894737
177,5.512567043304443,538.0185,447.75693447894736
178,5.524456977844238,536.68994,446.87685696842107
179,5.554688453674316,536.82697,445.9967794578948
180,5.5786213874816895,540.91064,445.1167019473684
181,5.620742321014404,556.9609,444.23662443684213
182,5.653720378875732,590.8127,443.3565469263158
183,5.735214710235596,622.6417,442.4764694157895
184,5.820496082305908,597.3223,441.5963919052632
185,5.833150386810303,572.3246,440.71631439473686
