,y,x,HLdynamic,Li2011,Helsen2008,Arthern2010S,Goujon2003,Barnola1991,KuipersMunneke2015,Simonsen2013,Crocus,Arthern2010T
47,81.33,-39.32,-0.00818664999999999,-0.009066329999999984,-0.010525879999999987,-0.0102555,0.028168289999999985,0.022725910000000016,-0.009192209999999978,-0.008898820000000002,0.016573879999999985,
48,63.56,-45.83,-0.005819240000000003,-0.006666519999999981,-0.0077134599999999776,-0.006118039999999991,-0.009754099999999988,0.017368600000000012,-0.005644799999999978,-0.005704789999999987,-0.01837097999999998,
49,65.92,-38.71,0.0023502400000000034,,,,,0.037527400000000016,-0.012625150000000002,0.01789571000000001,-0.015754819999999975,
50,69.24,-35.54,-0.0047777799999999815,-0.008136129999999991,-0.005118079999999997,-0.00848626999999999,-0.26033381,-0.011034389999999977,-0.005212640000000018,-0.006013740000000017,-0.40649395,
51,76.68,-88.09,0.025761889999999982,0.029607389999999983,0.02930415,0.02974326999999999,-0.36670315,-0.36416826,0.027812749999999997,0.028762679999999985,-0.36067748,
52,67.88,-46.86,0.0002638799999999941,0.0017029899999999876,0.00039779999999997595,0.0009474399999999938,-0.009520100000000004,-0.0009293000000000218,0.0017624499999999987,0.0015443499999999999,0.0008325399999999927,-0.10530000500000002
53,77.3,-39.59,-0.014399300000000004,-0.01550482000000003,-0.017631760000000024,-0.016699870000000006,-0.08302118000000003,-0.10603093000000002,-0.014327960000000028,-0.0142042,-0.39796934,
54,77.56,-69.08,0.012594949999999994,0.013912769999999991,0.01302723,0.01613149,-0.107453034,0.012949660000000002,0.014230589999999987,0.015555960000000008,-0.38143107,
55,73.65,-49.56,0.015434009999999998,0.019365560000000004,0.021542919999999993,0.01884148999999999,-0.289542545,-0.05575653600000001,0.019575979999999993,0.01765084,-0.37227583,
56,62.5,-46.91,-0.008133250000000009,-0.010418850000000007,-0.009767230000000016,-0.007945360000000012,-0.14107071000000002,-0.02101418000000002,-0.006187110000000023,-0.005925940000000018,-0.2298186275,-0.224717362
57,71.04,-22.0,0.001026360000000004,0.003979730000000015,-0.0010747799999999974,-0.011945519999999987,0.022109800000000013,0.012012640000000019,-0.0017761299999999869,-0.0064283799999999836,-0.26583226,
58,80.07,-73.98,-0.0023848699999999834,-0.0028650299999999906,-0.004223749999999998,-0.0022373799999999833,-0.015898140000000005,-0.018068940000000006,-0.003234189999999998,-0.0028703800000000057,-0.160672193,
59,68.59,-34.78,0.005031159999999979,0.004730469999999987,0.006719549999999991,0.003262269999999984,-0.07431751,-0.003739320000000018,0.005906880000000003,0.004363079999999991,-0.37172365,
60,80.62,-42.36,-0.0011009799999999736,-0.0012432300000000118,-0.001600810000000008,-0.001337549999999993,-0.36447413,-0.37599098,-0.0017251600000000034,-0.0016328399999999965,-0.40055124,
61,68.75,-46.01,0.0006603000000000026,0.0019457299999999789,0.0010905199999999837,0.0010986600000000013,-0.012708369999999997,-0.0019722000000000073,0.0029687099999999855,0.002202569999999987,-0.023032490000000017,
62,78.05,-33.31,-0.007471879999999986,-0.009396899999999986,-0.012422240000000001,-0.010040889999999997,-0.050481659999999984,-0.051605789999999985,-0.00800128,-0.007804000000000005,-0.23074019899999998,
63,68.82,-47.18,0.00015998999999999874,-0.0012698299999999996,-0.002357809999999988,0.0006992299999999951,-0.015262129999999985,-0.0005531500000000023,0.0003950300000000184,0.001287040000000017,0.0015212699999999912,-0.11657645
64,79.96,-40.25,-0.013684869999999988,-0.015105960000000002,-0.016285470000000024,-0.015849809999999992,-0.10303938000000001,-0.16056029500000002,-0.013888170000000033,-0.014028060000000009,-0.40576774,
65,69.12,-36.31,0.012738880000000008,0.01275881000000001,0.014519239999999989,0.012031639999999982,-0.36257866,0.0044682399999999844,0.01305308999999999,0.012246879999999988,-0.3801384,
66,62.84,-43.34,0.0007964500000000041,,,,,0.004469880000000009,0.01746951999999999,0.0029612599999999933,0.022631650000000003,
67,77.22,-39.95,-0.014586559999999998,-0.01622913000000001,-0.01782402999999999,-0.016927780000000003,-0.08681306999999999,-0.10815523999999999,-0.014527860000000004,-0.014724719999999997,-0.39750196000000004,
68,71.33,-41.54,0.004327429999999993,0.004463670000000003,0.007376540000000015,0.004668699999999998,-0.11555152,-0.020271949999999983,0.007238400000000006,0.0055728499999999626,-0.39453878,
69,73.05,-47.13,0.015265830000000008,0.017546339999999994,0.017231930000000006,0.018314530000000023,-0.25900566999999997,-0.32604449999999996,0.01775940000000001,0.017174020000000012,-0.37975887,
70,78.02,-80.6,-0.004692150000000006,-0.00510629999999998,-0.00577917,-0.00399658,-0.07945507000000002,-0.145028975,-0.0033562300000000156,-0.003639200000000037,-0.39281496,
71,64.97,-43.87,0.00568281000000001,0.006563920000000001,0.006932569999999999,0.007220520000000008,-0.35084812,0.0009537400000000085,0.007345370000000018,0.006952029999999998,-0.38963190000000003,
72,68.16,-44.56,0.001073729999999995,0.0019171300000000169,0.0008664200000000066,0.0019606300000000187,-0.055585510000000005,-0.017613440000000008,0.003245830000000005,0.0028615599999999852,-0.191676549,
73,75.02,-44.62,0.0057850299999999966,0.00625864000000001,0.0071927200000000135,0.006668750000000001,-0.099565765,-0.09295563,0.006834260000000009,0.006719549999999991,-0.39051419,
74,78.62,-37.09,-0.008424210000000015,-0.010535020000000006,-0.01315050000000001,-0.011898340000000007,-0.07537378,-0.09696111000000002,-0.008739500000000011,-0.008796209999999999,-0.38909396,
75,72.05,-40.85,0.0037630399999999953,0.0028093999999999897,0.003172910000000001,0.003319469999999991,-0.24809262999999998,-0.14559024999999998,0.004787039999999992,0.004534449999999995,-0.39907739,
76,76.84,-38.68,-0.012715559999999959,-0.013825460000000012,-0.01586870999999998,-0.014850790000000003,-0.09605431,-0.11067047999999999,-0.012232820000000005,-0.012461619999999979,-0.39850876,
77,65.27,-45.21,-0.004007769999999994,-0.0049513399999999985,-0.006011180000000005,-0.0033213300000000112,-0.0183209,0.0012716999999999867,-0.004086119999999999,-0.003719710000000015,-0.04259497000000001,
78,74.24,-48.64,0.007869419999999988,0.009552969999999994,0.011382549999999991,0.008886199999999983,-0.10397477000000001,-0.09313778,0.009837459999999992,0.009665649999999998,-0.38416047,
79,78.01,-60.53,-0.006779179999999996,-0.007077499999999987,-0.008533409999999991,-0.007060029999999995,-0.05382323,-0.07685155999999999,-0.0064618399999999965,-0.006508269999999983,-0.35580951,
80,82.31,-71.79,0.02038561,0.020882800000000007,0.020575549999999998,0.020998060000000013,-0.34607067999999996,-0.34982855,0.020278679999999993,0.020059030000000005,-0.37687218,
81,76.68,-64.82,0.004666609999999988,0.004977869999999995,0.0076559200000000105,0.004728629999999984,-0.036259349999999996,0.0026598399999999967,0.006789679999999992,0.005618750000000006,-0.36946298,
82,64.61,-42.16,-0.0009524499999999936,-0.008211710000000011,-5.420999999999898e-05,,,-0.0037097699999999734,-0.0015330900000000147,0.002033229999999997,-0.38660636000000004,
83,79.77,-53.5,0.201256617,0.20835087700000002,0.207728607,0.209675737,-0.15116856299999998,-0.179928173,0.20328242700000002,0.20316629700000002,-0.17521890299999998,
84,77.92,-47.83,0.060891979999999984,0.062046729999999994,0.06324351999999997,0.06398308999999999,-0.33082952,-0.33102404,0.06184471999999999,0.06169708999999998,-0.32937510000000003,
85,68.92,-38.63,0.021417080000000005,0.02029281999999999,0.019876359999999982,0.020525619999999994,-0.3296964,-0.021982520000000005,0.020822420000000008,0.021196240000000005,-0.38271822,
86,72.67,-48.95,0.0036469500000000377,0.004868620000000046,0.005155410000000055,0.004563730000000044,-0.23872485699999996,-0.04456978999999994,0.006044550000000037,0.005247730000000034,-0.37941823999999996,
87,63.88,-42.97,-0.0012815899999999991,-0.009882389999999991,-0.004185809999999984,,-0.35971347,-0.007598660000000007,-0.006424519999999989,0.0012028500000000053,-0.38620387,
88,78.8,-34.71,-0.009093720000000027,-0.011367860000000035,-0.013818740000000024,-0.012161940000000038,-0.06879269000000005,-0.06901026000000005,-0.009334710000000024,-0.00966072000000004,-0.3517777,
89,80.97,-72.72,0.004422050000000011,0.004458960000000012,0.004360019999999992,0.004473329999999998,-0.04110118999999998,-0.09739920599999999,0.005109239999999987,0.004950740000000009,-0.3873045,
90,78.9,-49.81,0.03000006999999999,0.03181779000000001,0.03199356999999997,0.03360360000000001,-0.29827035999999996,-0.32394683,0.030407779999999995,0.030823110000000015,-0.35860397,
91,69.75,-41.38,0.005176299999999995,0.004443790000000003,0.008392700000000003,0.00546758,-0.220278855,0.001999549999999989,0.008732049999999991,0.006880739999999996,-0.39513153,
92,69.63,-30.53,-0.005338290000000023,-0.00884920000000003,-0.00764655000000003,-0.011893170000000036,-0.03823726000000002,-0.016925980000000035,-0.006376810000000038,-0.008500970000000024,-0.10047742000000001,
93,69.39,-34.47,-0.004642779999999985,-0.017175350000000006,-0.00493302000000001,-0.013659390000000021,-0.10047510000000001,-0.01391133,-0.0036805200000000204,-0.007314979999999999,-0.40352438,
94,66.69,-38.02,-0.0013098000000000276,-0.017633590000000005,-0.005071050000000021,,-0.33437931,-0.01596025000000001,-0.006320780000000026,-0.0039049000000000167,-0.41302933,
95,62.03,-46.78,-0.003363740000000004,-0.006519390000000014,-0.005476549999999997,-0.0035042200000000023,-0.173523306,-0.053657979999999994,-0.0013552400000000075,-0.001032229999999995,-0.20499050900000002,
96,77.96,-28.86,-0.005637510000000012,-0.007149480000000014,-0.007725340000000025,-0.008910250000000008,-0.057912270000000016,-0.027505590000000024,-0.00599108000000001,-0.00680513000000002,-0.13777763,
97,81.15,-77.46,0.0006891800000000115,0.0007242500000000096,0.0006736499999999979,0.0009586500000000053,-0.0005050699999999964,-0.0003962499999999869,0.0006630999999999998,0.000714910000000013,-0.00329117000000001,
98,69.07,-42.47,0.005722909999999998,0.005819889999999994,0.009360829999999987,0.006594700000000009,-0.10258801000000001,0.0011277600000000054,0.009785789999999989,0.007769870000000012,-0.38082194,
99,74.98,-35.58,-0.014914170000000004,-0.016300110000000007,-0.018216769999999993,-0.017221180000000003,-0.10990301,-0.11149885999999998,-0.014900129999999984,-0.015452759999999982,-0.41235288999999997,
100,75.74,-31.21,-0.011724410000000018,-0.01268966000000002,-0.01512612000000002,-0.013630420000000032,-0.022005930000000035,-0.025819740000000035,-0.011884940000000038,-0.01192498000000003,-0.17880052000000002,
101,72.45,-39.05,-0.0012333900000000009,-0.0024922099999999947,-0.0029585699999999937,-0.003306300000000012,-0.2151907699,-0.155473686,-0.0018092700000000017,-0.002146160000000008,-0.40541001,
102,68.95,-38.36,0.021704780000000007,0.020740989999999987,0.02036446,0.020792559999999988,-0.35183179,-0.028964080000000003,0.021023349999999996,0.02136889,-0.38182204,
103,81.61,-14.25,-0.0006647800000000037,-0.02145140000000001,-0.003450599999999998,-0.025440539999999984,0.015762659999999984,-0.008591139999999997,-0.004599300000000001,-0.024661230000000006,-0.323015,
104,70.97,-47.64,0.005292409999999997,0.005333719999999986,0.010606629999999978,0.00508328999999999,-0.026432770000000022,0.0033133899999999994,0.009958699999999987,0.007396679999999989,-0.34722771,
105,76.6,-55.8,-0.00043872000000000355,-0.0014257599999999981,-0.0026384599999999814,-0.0012473799999999924,-0.04102208999999998,-0.013409599999999994,-0.00017911999999997708,-3.361999999998422e-05,-0.239571871,
106,76.05,-40.02,-0.009196609999999994,-0.010106019999999993,-0.012104399999999987,-0.011245339999999993,-0.29233218299999997,-0.343568686,-0.008281270000000007,-0.008785899999999985,-0.41477555,
107,78.11,-44.81,0.008999449999999992,0.008989159999999996,0.008710329999999988,0.009401069999999984,-0.34620923000000003,-0.37344332,0.009351919999999986,0.009256019999999976,-0.38932969,
108,76.69,-53.23,-0.0008885399999999932,-0.001332500000000042,-0.0025621900000000197,-0.0005276200000000064,-0.012633809999999995,-0.013097269999999994,-0.0009455500000000172,-0.0006193200000000065,-0.36552404,
109,76.55,-36.93,-0.014592660000000007,-0.01582673000000001,-0.017974079999999976,-0.01689367,-0.08809091,-0.09401467,-0.014111430000000008,-0.014442659999999996,-0.39676948,
110,75.92,-56.63,0.003626689999999988,0.003674539999999976,0.00698020000000002,0.002724719999999986,-0.04084351000000003,0.0020037199999999866,0.0059614399999999845,0.0043262299999999865,-0.3453783,
111,77.76,-41.31,-0.010611129999999996,-0.011701760000000005,-0.013481899999999991,-0.012671500000000002,-0.13553756,-0.16571803000000002,-0.010161859999999995,-0.010432940000000002,-0.40509594,
112,71.38,-39.27,-0.00012968999999998787,-0.002850619999999998,-0.002418239999999988,-0.002473260000000005,-0.18564352,-0.10978018,-0.0004526499999999989,-0.0006385299999999705,-0.40630732,
113,67.41,-37.24,-0.0005554799999999971,-0.0011538199999999998,-0.0019629999999999925,-0.0003736299999999859,-0.15343996,-0.03823913000000001,-0.0007816199999999829,-0.000535769999999991,-0.35921818,
114,77.76,-55.28,-0.007199650000000002,-0.007846990000000026,-0.008844340000000006,-0.007737280000000013,-0.08077614000000002,-0.10914627000000002,-0.0069753700000000085,-0.007084030000000019,-0.39423417000000005,
115,63.12,-46.35,-0.007291110000000017,-0.009821810000000014,-0.009553090000000014,-0.008146149999999991,-0.04138741000000001,-0.010096030000000006,-0.00684129,-0.006952110000000011,-0.04519676,
116,71.74,-38.31,-0.006545129999999982,-0.007768229999999987,-0.008727299999999993,-0.009026949999999978,-0.06558017999999996,-0.04785484999999998,-0.007293439999999984,-0.0073821799999999604,-0.4080277,
117,75.36,-33.74,-0.013945800000000008,-0.015517219999999998,-0.017644190000000004,-0.01647322000000001,-0.045510049999999996,-0.04661588,-0.01424719000000002,-0.01457882000000002,-0.373175685,
118,76.25,-61.02,-1.0380000000004275e-05,0.007415389999999994,0.004701159999999982,0.0004912899999999776,-0.0014981000000000022,0.0016756399999999783,0.002497749999999993,0.00011927000000000465,-0.23764021800000001,
119,65.25,-47.3,-0.0004934499999999786,-0.0024335399999999563,-0.003094059999999982,-0.00013196999999998127,-0.026902979999999993,-0.015362399999999998,-0.00045855999999999675,1.8000000000240046e-06,-0.017590929999999977,-0.09661180999999999
120,64.66,-44.08,0.010299169999999996,0.011629920000000016,0.012423450000000003,0.012437260000000006,-0.37930494000000003,0.008528730000000012,0.01184657,0.011832470000000012,-0.37962418,
121,70.03,-44.84,0.006341149999999962,0.005110019999999993,0.011385389999999995,0.006681149999999969,-0.13078694000000002,0.006124759999999979,0.01124764999999997,0.00877596,-0.38323653,
